ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,
TABLE 5.5. Availability and consumption of electricity,,,,,,,,,,,,,,,,TWh,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Other generators,Other generators,Other generators,All electricity suppliers,All electricity suppliers,All electricity suppliers,,,,,,,
,,Electricity available,"Transmission, distribution and other losses",Sales to England and Wales,Sales to Scotland,Sales to Northern Ireland,Total Sales,Sales to Industrial,Sales to Domestic ,Sales to Other,Electricity available,Losses and statistical differences,Consumption of electricity,Electricity Available,Losses and statistical differences,Consumption of electricity,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2002,Quarter 2,81.61 ,7.07 ,65.72 ,6.97 ,1.84 ,74.54 ,24.35 ,26.29 ,23.89 ,6.13 ,0.01 ,6.12 ,87.73 ,7.07 ,80.66 ,,,,,,,
2002,Quarter 3,78.45 ,6.75 ,63.53 ,6.36 ,1.80 ,71.70 ,23.39 ,24.40 ,23.93 ,5.94 ,0.02 ,5.92 ,84.39 ,6.76 ,77.63 ,,,,,,,
2002,Quarter 4,94.17 ,9.31 ,75.02 ,8.02 ,1.83 ,84.86 ,24.86 ,34.13 ,25.86 ,5.97 ,- ,5.97 ,100.13 ,9.29 ,90.84 ,,,,,,,
2003,Quarter 1,97.43 ,9.22 ,77.71 ,8.35 ,2.14 ,88.21 ,25.50 ,36.63 ,26.08 ,5.62 ,-0.03 ,5.65 ,103.06 ,9.20 ,93.86 ,,,,,,,
2003,Quarter 2,82.76 ,6.57 ,67.67 ,6.67 ,1.84 ,76.19 ,24.98 ,26.56 ,24.65 ,5.53 ,0.06 ,5.48 ,88.29 ,6.61 ,81.68 ,,,,,,,
2003,Quarter 3,79.90 ,7.03 ,64.99 ,6.16 ,1.72 ,72.87 ,24.52 ,24.24 ,24.11 ,5.34 ,0.08 ,5.26 ,85.24 ,7.11 ,78.13 ,,,,,,,
2003,Quarter 4,96.29 ,9.21 ,76.53 ,8.42 ,2.11 ,87.07 ,24.28 ,35.56 ,27.21 ,5.82 ,-0.07 ,5.90 ,102.10 ,9.14 ,92.96 ,,,,,,,
2004,Quarter 1,100.11 ,9.45 ,80.41 ,8.18 ,2.07 ,90.66 ,25.17 ,35.70 ,29.79 ,6.24 ,0.00 ,6.24 ,106.35 ,9.45 ,96.90 ,,,,,,,
2004,Quarter 2,78.77 ,6.28 ,64.02 ,6.69 ,1.78 ,72.49 ,22.49 ,27.77 ,22.22 ,5.93 ,0.01 ,5.92 ,84.70 ,6.30 ,78.40 ,,,,,,,
2004,Quarter 3,81.36 ,7.84 ,65.09 ,6.73 ,1.69 ,73.51 ,23.66 ,26.18 ,23.68 ,5.67 ,0.01 ,5.66 ,87.03 ,7.86 ,79.17 ,,,,,,,
