Year,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,,,,,,,
,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter p,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine bunkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total supply,102644.0,87860.0,83782.0,100883.0,104675.0,88981.0,86241.0,102498.0,106718.4,92285.9,88221.1,104016.8,110525.2,92561.8,88377.9,103713.1,108506.5,92460.6,89141.3,105552.7,108953.2,93350.3,90282.1,107783.8,112209.4,89326.0,91683.0,108201.1,111111.1,95301.2,91505.8,108763.9,113559.3,94030.3,91823.5,105386.2,108518.3,92638.8,91511.3,109376.2,110201.3,93740.9,90941.1,105056.9,106341.0,87991.8,86444.1,98837.7,106492.1,87924.9,85636.4,104676.4,104434.0,86595.7,85778.9,97396.4,101886.8,88451.1,85496.2,99902.9,104183.5,87296.9,84154.7,97079.6,98369.7,83740.1,81554.6,94951.3,100502.9,84123.4,82250.1,93104.5,98250.7,83378.3,80796.3,94620.8,96396.6,82329.8,80899.0,93783.1,98603.8,82357.5,80308.3,91754.0,,,,,,,
Statistical difference,570.0,1044.0,353.0,-106.0,-609.0,759.0,-574.0,1988.0,2764.3,496.1,-2451.7,689.6,-1525.4,-1437.1,1019.7,3111.0,-280.4,411.1,449.5,403.6,650.7,465.1,307.9,784.2,485.3,-222.9,938.0,1248.2,-187.8,127.7,506.5,-219.9,-366.3,52.6,272.9,143.4,-270.9,-424.5,-24.6,327.8,383.3,-323.6,13.2,204.3,447.7,-263.7,94.3,-139.0,290.6,-375.9,-201.8,134.9,228.0,-159.5,-98.8,-126.5,-258.5,-295.3,255.9,-324.4,-125.0,-300.2,-418.8,-271.4,-196.8,-395.3,-327.3,-147.4,372.4,341.3,318.1,309.9,122.1,30.7,162.2,206.9,-221.3,-197.6,-366.7,356.0,-151.5,-371.3,162.6,-428.7,,,,,,,
Total demand,102074.0,86816.0,83429.0,100989.0,105284.0,88222.0,86815.0,100510.0,103954.1,91789.8,90672.8,103327.1,112050.6,93998.9,87358.2,100602.2,108787.0,92049.6,88691.7,105149.0,108302.5,92885.2,89974.2,106999.6,111724.2,89548.9,90745.0,106952.9,111298.8,95173.5,90999.3,108983.8,113925.6,93977.8,91550.6,105242.8,108789.2,93063.3,91535.8,109048.4,109817.9,94064.5,90928.0,104852.6,105893.3,88255.6,86349.8,98976.6,106201.5,88300.8,85838.2,104541.5,104205.9,86755.2,85877.6,97522.9,102145.3,88746.4,85240.3,100227.3,104308.4,87597.1,84573.5,97351.0,98566.5,84135.5,81881.9,95098.6,100130.5,83782.1,81932.0,92794.6,98128.6,83347.6,80634.1,94413.9,96617.8,82527.4,81265.7,93427.1,98755.3,82728.8,80145.7,92182.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transformation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Energy industry use,7851.0,7145.0,7117.0,7560.0,8023.0,7129.0,7168.0,7469.0,8208.9,7413.0,7124.7,7934.0,8248.6,7100.6,7047.0,7992.2,8407.3,7432.2,7419.7,8037.5,8489.9,7668.0,7663.0,8260.4,8053.5,6814.2,6818.4,7608.1,8177.1,6971.5,6833.1,8124.8,9090.3,7492.5,7542.5,7930.3,8421.0,7642.8,7796.4,8697.5,7718.2,7073.4,7140.8,8058.4,8379.5,6940.0,6888.5,7476.4,7991.7,6652.1,6467.7,7896.7,7796.2,6734.5,6550.9,7267.5,7700.3,6972.3,6889.7,7608.5,8097.1,7105.3,7165.2,7525.0,7633.0,6970.5,6500.5,7278.7,7535.2,6615.0,6590.7,7152.8,6972.4,6296.8,6272.7,7090.9,7128.2,6396.0,6364.6,6724.6,6916.0,6431.0,6294.6,6494.9,,,,,,,
Losses,7286.0,6079.0,6659.0,7933.0,7021.0,6563.0,7083.0,7631.0,8285.3,7229.1,6949.8,7184.4,9360.1,7583.2,6609.7,7348.6,8099.8,6681.0,6293.5,8905.7,8565.8,6136.6,6744.7,8414.9,9002.2,6596.0,6882.3,8247.6,8857.9,5761.8,6090.8,6963.7,8329.0,6391.1,5929.0,6760.8,8599.8,6250.6,6137.0,7235.2,7521.5,6876.4,6611.3,6841.0,7911.3,7103.4,6804.0,6224.1,7004.4,6716.4,6408.2,6907.6,8195.9,6458.1,6539.5,6946.8,8342.0,7279.1,5991.2,7304.6,8535.0,6621.6,5447.7,7062.2,8299.0,6139.7,5595.5,8480.0,9248.2,5495.7,5060.8,7492.7,8637.5,5964.7,4928.0,6566.1,8722.5,5904.8,5604.1,6322.7,8811.6,5830.2,5047.8,7024.7,,,,,,,
Final consumption,86937.0,73592.0,69653.0,85496.0,90240.0,74530.0,72564.0,85410.0,87459.9,77147.6,76598.3,88208.7,94441.9,79315.1,73701.5,85261.4,92279.8,77936.4,74978.5,88205.9,91246.8,79080.6,75566.5,90324.3,94668.5,76138.6,77044.2,91097.1,94263.8,82440.3,78075.4,93895.4,96506.2,80094.2,78079.1,90551.6,91768.3,79169.9,77602.4,93115.7,94578.2,80114.7,77175.9,89953.3,89602.5,74212.1,72657.3,85276.1,91205.4,74932.3,72962.3,89737.2,88213.8,73562.7,72787.3,83308.6,86103.1,74494.9,72359.4,85314.2,87676.3,73870.1,71960.6,82763.8,82634.6,71025.3,69785.9,79339.9,83347.1,71671.4,70280.6,78149.1,82518.7,71086.1,69433.5,80756.9,80767.1,70226.6,69297.0,80379.8,83027.7,70467.7,68803.4,78663.1,,,,,,,
Iron & steel,2416.0,2404.0,2386.0,2365.0,2468.0,2456.0,2438.0,2417.0,1628.0,1594.6,1538.4,1587.3,1331.4,1325.3,1319.4,1326.5,1276.0,1256.7,1279.3,1279.7,1376.6,1372.3,1336.8,1348.3,1347.1,1347.1,1352.6,1365.3,1262.4,1247.1,1259.9,1250.6,1462.3,1461.1,1454.6,1482.2,1255.2,1241.3,1217.3,1223.5,1194.0,1183.8,1125.4,1153.5,906.4,882.2,912.7,913.8,973.6,954.6,974.3,939.2,969.5,966.4,964.3,951.7,865.7,892.4,916.3,904.2,948.5,966.3,945.4,938.4,956.3,944.8,936.8,948.8,989.9,935.5,887.1,875.1,707.5,702.9,706.6,730.4,682.4,670.1,653.4,671.2,668.0,662.8,663.0,664.8,,,,,,,
Other industries,26155.0,23556.0,23400.0,24495.0,27100.0,24047.0,24925.0,25126.0,26884.6,26614.6,26608.7,27653.3,28860.4,26577.6,25120.1,25474.2,28159.9,25815.7,24740.9,26358.7,26628.0,26054.7,25502.2,25659.5,27158.1,24216.8,25211.7,29467.8,28499.5,27908.0,26216.2,28380.7,29143.0,26251.3,26578.0,27065.9,27059.9,26527.5,26119.2,28155.6,29193.5,26895.4,25963.2,27442.0,24362.6,22576.7,22811.2,26372.3,25378.0,24307.2,24473.7,26536.9,25864.2,23875.2,23974.9,24849.4,23894.0,23205.2,23224.4,24553.7,23921.6,22869.9,22940.5,23450.4,23301.4,21494.5,22301.7,22120.6,23968.6,22156.5,22267.2,20826.8,22387.4,21727.7,22000.3,22845.1,22807.8,21459.4,22389.1,23312.6,22713.8,21914.0,22398.1,22724.5,,,,,,,
Transport,1899.0,2276.0,2055.0,2281.0,1916.0,2293.0,2072.0,2297.0,2277.6,2028.8,2179.7,2135.7,2230.5,2222.9,2185.7,2189.2,2159.1,2161.3,2097.3,2036.9,2105.5,2038.7,1967.9,2099.9,1014.5,1014.5,1014.5,1014.5,1014.8,1014.8,1014.8,1014.8,1000.4,1000.4,1000.4,1000.4,990.4,990.4,990.4,990.4,988.4,988.4,988.4,988.4,1012.7,1012.7,1012.7,1012.7,1016.9,1016.9,1016.9,1016.9,1051.3,1051.3,1051.3,1051.3,1120.0,1120.0,1120.0,1120.0,1088.1,1088.1,1088.1,1088.1,1126.1,1126.1,1126.1,1126.1,1129.2,1129.2,1129.2,1129.2,1171.4,1171.4,1171.4,1171.4,1195.7,1195.7,1195.7,1195.7,1195.7,1195.7,1195.7,1195.7,,,,,,,
Domestic,32347.0,24361.0,21159.0,31543.0,33850.0,23679.0,21556.0,31224.0,32638.2,23637.9,23362.8,32203.1,35044.9,25649.6,23110.8,31531.7,35202.6,26286.1,24396.4,34129.4,36631.0,26563.1,24238.2,35568.5,35703.4,27771.4,26176.2,34549.4,36149.2,27940.7,25814.7,35806.6,37467.2,27489.4,24993.6,34753.7,35226.2,26644.5,25483.9,35721.4,34683.0,26548.7,24990.4,33577.9,36388.0,25323.9,23872.2,32956.7,36082.9,25075.2,23215.3,34458.5,34084.8,23956.0,22881.1,30664.5,33506.2,25156.7,23163.8,32835.9,34302.3,25468.0,22708.3,30933.9,31731.1,24127.9,22347.3,29869.8,31545.6,24148.0,22173.8,29896.4,31904.1,24014.4,21830.7,30222.1,30629.3,23383.7,21422.8,29960.0,31922.8,23389.5,20865.2,29107.7,,,,,,,
Other final users,24120.0,20995.0,20653.0,24812.0,24906.0,22055.0,21573.0,24346.0,24031.6,23271.6,22908.7,24629.3,26974.6,23539.7,21965.5,24739.8,25482.2,22416.7,22464.5,24401.3,24505.6,23051.7,22521.5,25648.2,29445.4,21788.9,23289.2,24700.2,27337.9,24329.6,23769.9,27442.6,27433.4,23892.0,24052.5,26249.3,27236.6,23766.1,23791.7,27024.7,28519.3,24498.4,24108.4,26791.4,26932.7,24416.6,24048.5,24020.5,27754.0,23578.4,23282.2,26785.8,26243.9,23713.6,23915.7,25791.7,26717.2,24120.6,23934.9,25900.3,27415.9,23477.9,24278.4,26353.0,25519.7,23332.1,23074.1,25274.6,25713.9,23302.3,23823.3,25421.6,26348.2,23469.7,23724.5,25788.0,25452.0,23517.7,23636.0,25240.3,26527.5,23305.8,23681.3,24970.4,,,,,,,
Non energy use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
